BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
453,45300,1,11,114,2,23,"12300
"
502,50200,2,11,114,2,22,"134300
"
502,50200,2,6,63,1,13,"30000
"
502,50200,2,6,65,0,0,"0
"
540,54000,1,11,114,0,0,"0
"
501,50100,1,10,101,2,22,"30000
"
453,45300,2,10,101,0,0,"22200
"
455,45500,2,6,63,0,0,"19800
"
465,46530,2,5,50,2,22,"4000
"
200,20000,1,6,63,0,0,"19600
"
450,45000,2,10,101,0,0,"0
"
413,41300,1,7,71,2,22,"62000
"
502,50200,1,2,22,0,0,"9999999
"
410,41000,2,11,114,2,22,"28000
"
521,52140,2,8,81,2,27,"50000
"
453,45300,1,6,63,2,22,"20000
"
200,20000,2,6,63,2,22,"20000
"
600,60012,2,11,115,2,22,"160000
"
600,60012,2,10,101,2,22,"7200
"
210,21040,1,0,2,2,27,"37000
"
210,21040,1,0,2,2,28,"60000
"
210,21040,1,11,114,2,22,"28000
"
210,21040,1,2,26,0,0,"0
"
210,21040,1,7,71,2,22,"0
"
210,21040,1,3,30,0,0,"0
"
210,21040,1,1,12,0,0,"9999999
"
200,20000,2,6,63,2,22,"60000
"
200,20000,2,6,63,1,13,"50000
"
200,20000,2,11,114,1,13,"400
"
300,30020,2,10,101,0,0,"34400
"
200,20000,2,0,2,2,22,"44000
"
200,20000,2,0,2,0,0,"0
"
453,45300,1,6,64,0,0,"0
"
515,51500,2,11,114,2,22,"43300
"
515,51500,1,11,114,2,22,"42000
"
453,45300,1,6,64,2,22,"60000
"
502,50200,2,6,64,0,0,"11900
"
515,51500,2,10,101,0,0,"12600
"
515,51500,2,10,101,2,22,"3800
"
456,45600,2,11,115,1,14,"40000
"
453,45300,1,10,101,2,22,"101000
"
150,15000,1,10,101,2,22,"102700
"
515,51500,2,6,63,2,22,"35000
"
515,51500,2,8,81,2,22,"35000
"
200,20000,2,6,63,2,22,"0
"
200,20000,2,6,63,2,22,"45000
"
521,52100,2,6,61,1,13,"43230
"
521,52110,2,10,101,2,27,"35200
"
420,42000,1,11,114,2,22,"32100
"
453,45300,1,10,101,2,25,"25000
"
501,50100,1,8,81,2,23,"65000
"
700,70010,1,1,14,0,0,"9999999
"
600,60031,2,6,61,2,22,"5200
"
411,41100,1,6,63,0,0,"17600
"
200,20000,2,8,81,2,23,"45000
"
453,45300,2,6,63,0,0,"0
"
600,60044,2,7,71,2,22,"12000
"
600,60044,2,5,50,2,22,"500
"
200,20000,2,2,23,0,0,"8400
"
210,21070,1,10,101,2,25,"50000
"
433,43300,2,6,61,0,0,"46500
"
200,20000,2,4,40,2,22,"30000
"
453,45300,2,6,61,0,0,"24600
"
421,42100,1,7,71,1,13,"269000
"
436,43610,1,8,81,0,0,"0
"
414,41400,2,11,115,2,23,"62000
"
210,21070,1,10,101,2,22,"90000
"
150,15000,1,10,101,2,22,"6300
"
521,52140,2,6,61,0,0,"0
"
521,52140,2,7,71,2,27,"5000
"
521,52140,2,5,50,0,0,"0
"
521,52140,2,0,2,0,0,"9999999
"
500,50000,2,4,40,2,22,"800
"
452,45213,2,6,64,0,0,"9800
"
453,45300,2,11,114,0,0,"71400
"
700,70020,2,11,116,2,22,"70600
"
413,41300,1,11,114,1,13,"10800
"
517,51700,2,8,81,2,22,"13000
"
500,50000,2,6,63,2,22,"20000
"
500,50040,2,3,30,2,22,"9600
"
210,21040,2,10,101,2,25,"9800
"
210,21040,2,3,30,0,0,"0
"
250,25000,2,5,50,0,0,"20400
"
518,51800,2,7,71,1,13,"16000
"
522,52200,2,11,114,1,14,"62000
"
522,52200,2,10,101,1,14,"22000
"
515,51500,2,6,63,0,0,"0
"
500,50000,2,11,114,1,14,"171100
"
500,50000,2,11,116,2,22,"18400
"
500,50000,2,11,116,0,0,"36800
"
521,52100,2,0,2,2,22,"35000
"
521,52100,2,0,2,1,14,"12000
"
521,52100,2,0,2,2,22,"12000
"
200,20000,2,2,25,2,22,"45000
"
501,50100,1,11,114,2,28,"57000
"
522,52200,1,10,101,2,25,"96000
"
453,45300,1,10,101,0,0,"36000
"
438,43800,1,7,71,2,22,"13200
"
410,41000,1,7,71,2,22,"84000
"
453,45300,1,6,64,2,22,"55000
"
600,60014,2,6,65,2,22,"48000
"
600,60014,2,6,65,2,22,"38000
"
300,30015,2,6,64,2,22,"0
"
518,51800,2,11,114,2,22,"105000
"
453,45300,1,2,23,0,0,"9999999
"
515,51500,2,6,63,1,13,"13000
"
210,21070,2,8,81,2,22,"6000
"
501,50100,1,11,114,2,28,"56000
"
502,50200,2,6,61,0,0,"9200
"
521,52100,2,11,116,2,22,"95000
"
210,21070,1,6,63,0,0,"40500
"
501,50100,1,10,101,2,23,"104000
"
541,54100,2,11,115,2,22,"110000
"
541,54100,2,6,63,0,0,"30000
"
200,20000,2,6,65,2,22,"35000
"
200,20000,2,5,50,2,22,"26700
"
200,20000,2,6,65,2,22,"46000
"
453,45300,1,11,114,2,27,"101000
"
210,21040,2,7,71,2,22,"55000
"
452,45213,1,10,101,2,28,"31500
"
433,43300,2,10,101,1,13,"-1000
"
453,45300,2,10,101,0,0,"50530
"
515,51500,2,6,65,2,23,"32500
"
413,41300,2,8,81,2,22,"75000
"
453,45300,2,6,63,0,0,"8300
"
521,52100,2,11,115,2,25,"203800
"
521,52100,2,6,63,0,0,"14400
"
521,52140,2,6,61,1,13,"16000
"
521,52140,2,8,81,0,0,"0
"
521,52140,2,6,63,0,0,"0
"
