BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,3,2,23,0,0,"0
"
150,15000,3,8,81,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
457,45740,3,4,40,0,0,"0
"
210,21030,3,6,63,0,0,"0
"
515,51500,3,11,116,2,22,"0
"
200,20000,3,10,101,2,22,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,1,17,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
541,54100,3,2,25,0,0,"0
"
541,54100,3,7,71,1,13,"0
"
541,54100,3,6,63,0,0,"0
"
200,20000,3,0,2,2,27,"0
"
200,20000,3,6,65,0,0,"0
"
410,41000,3,6,65,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
502,50200,3,10,101,0,0,"0
"
210,21040,3,1,14,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
502,50200,3,6,61,0,0,"0
"
532,53200,3,8,81,0,0,"0
"
543,54300,3,6,63,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,8,81,0,0,"0
"
250,25000,3,10,101,0,0,"0
"
543,54300,3,6,65,0,0,"0
"
462,46200,3,6,63,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
453,45300,3,11,114,0,0,"0
"
453,45300,3,4,40,0,0,"0
"
500,50000,3,11,115,2,22,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
210,21030,3,0,2,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
600,60044,3,0,1,0,0,"9999999
"
453,45300,3,0,1,0,0,"9999999
"
457,45740,3,6,61,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
150,15000,3,6,63,1,13,"0
"
150,15000,3,6,63,0,0,"0
"
453,45300,3,10,101,0,0,"0
"
453,45300,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
543,54300,3,10,101,0,0,"0
"
200,20000,3,2,23,2,22,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,2,26,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,6,61,2,22,"0
"
210,21040,3,6,61,0,0,"0
"
200,20000,3,8,81,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
515,51500,3,1,12,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
521,52100,3,3,30,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
210,21040,3,6,63,0,0,"0
"
200,20000,3,1,15,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
410,41000,3,0,2,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
250,25000,3,1,11,0,0,"9999999
"
200,20000,3,0,2,0,0,"0
"
150,15000,3,10,101,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,7,71,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
600,60072,3,0,2,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
300,30015,3,10,101,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
500,50000,3,10,101,0,0,"0
"
500,50000,3,10,101,0,0,"0
"
200,20000,3,2,26,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
600,60044,3,0,2,0,0,"0
"
200,20000,3,7,71,2,22,"0
"
